364, 650 , 554, 806
232, 592 , 432, 788
130, 610, 314, 782
236, 602, 344, 676
298, 652, 354, 708
290, 558, 412, 668
286, 634, 382, 712
526, 668, 590, 790
190, 602, 318, 722
372, 624, 562, 852

416, 662, 494, 748
198, 534, 302, 704
350, 584, 460, 698
458, 644, 558, 786
258, 588, 346, 674
232, 570, 306, 676
608, 648, 676, 740
352, 584, 458, 692
416, 630, 560, 762
240, 654, 372, 766

238, 586, 308, 656
368, 578, 434, 664
280, 570, 406, 698
318, 664, 430, 794
242, 668, 352, 776
306, 644,434, 770
300, 598, 444, 704
242, 670, 390, 804
394, 684, 474, 796
260, 667, 424, 842

140, 638, 324, 736
240, 644, 410, 738
276, 606, 432, 740
294, 572, 410, 688
208, 546, 402, 722
528, 678, 664, 812
302, 598, 396, 640
268, 620, 448, 752
386, 594, 520, 704
118, 674, 374, 860

300, 610, 436, 714
248, 592, 366, 696
306, 632, 422, 752
320, 628, 442, 796
242, 582, 628, 578
576, 668, 706, 822
702, 688, 776, 764
180, 634, 236, 706
284, 628, 416, 720
196, 602, 314, 718

286, 600, 430, 750
380, 606, 488, 700
336, 630, 536, 792
350, 622, 434, 678
536, 632, 674, 738
276, 598, 392, 704
132, 586, 332, 708
342, 606, 466, 706
256, 602, 332, 686
654, 628, 758, 882

124, 584, 286, 724
260, 640, 360, 738
214, 596, 378, 706
220, 540, 456, 728
272, 634, 380, 730
460, 658, 592, 752
230, 606, 376, 732
270, 594, 416, 734
424, 652, 550, 744
310, 656, 516, 866

150, 620, 250, 720
268, 632, 778, 604
230, 570, 384, 702
228, 612, 370, 726
232, 604, 386, 742
256, 616, 506, 800
160, 580, 294, 704
256, 574, 410, 762
310, 568, 464, 688
324, 616, 468, 740


