856, 480, 946, 562
562, 546, 800, 756
798, 598, 944, 726
744, 588, 864, 688
698, 632, 750, 692
632, 562, 784, 704
722, 628, 798, 710
736, 658, 798, 790
790, 592, 896, 706
708, 580, 918, 796

678, 498, 778, 474
712, 604, 862, 798
684, 594, 788, 692
756, 670, 814, 806
772, 610, 858, 686
800, 586, 888, 684
876, 588, 930, 660
752, 592, 850, 718
686, 566, 854, 700
722, 648, 824, 752

552, 592, 620, 650
784, 592, 844, 660
716, 578, 836, 686
756, 670, 894, 788
832, 660, 946, 762
690, 640, 844, 784
780, 570, 904, 680
716, 648, 868, 784
838, 642, 912, 762
802, 496, 958, 644

690, 682, 910, 764
738, 634, 892, 728
706, 600, 860, 694
744, 588, 878, 698
440, 658, 664, 858
858, 528, 980, 652
644, 600, 744, 636
606, 556, 796, 692
748, 570, 888, 670
570, 652, 822, 838

644, 602, 764, 728
732, 586, 866, 682
698, 616, 812, 704
562, 610, 666, 794
628, 578, 846, 722
none
none
786, 638, 864, 702
640, 620, 752, 730
664, 600, 818, 736

708, 598, 876, 744
746, 578, 848, 696
676, 628, 822, 782
708, 626, 810, 700
792, 470, 918, 598
710, 612, 808, 714
584, 584, 766, 730
620, 590, 738, 684
760, 590, 856, 678
none

808, 590, 962, 750
796, 630, 896, 720
754, 572, 910, 714
688, 522, 920, 714
544, 628, 636, 720
808, 416, 918, 504
672, 604, 822, 714
724, 592, 884, 730
684, 618, 788, 702
746, 654, 946, 882

none
780, 604, 940, 786
770, 576, 914, 706
654, 580, 812, 718
674, 578, 820, 732
648, 644, 900, 800
696, 568, 862, 728
574, 564, 802, 786
none
662, 614, 840, 742

