364, 650 , 554, 806,856, 480, 946, 562
232, 592 , 432, 788, 562, 546, 800, 756
130, 610, 314, 782,798, 598, 944, 726
236, 602, 344, 676,744, 588, 864, 688
298, 652, 354, 708,698, 632, 750, 692
290, 558, 412, 668,632, 562, 784, 704
286, 634, 382, 712,722, 628, 798, 710
526, 668, 590, 790,736, 658, 798, 790
190, 602, 318, 722,790, 592, 896, 706
372, 624, 562, 852, 708, 580, 918, 796
416, 662, 494, 748,678, 498, 778, 474
198, 534, 302, 704,712, 604, 862, 798
350, 584, 460, 698,684, 594, 788, 692
458, 644, 558, 786,756, 670, 814, 806
258, 588, 346, 674,772, 610, 858, 686
232, 570, 306, 676,800, 586, 888, 684
608, 648, 676, 740,876, 588, 930, 660
352, 584, 458, 692,752, 592, 850, 718
416, 630, 560, 762,686, 566, 854, 700
240, 654, 372, 766, 722, 648, 824, 752
238, 586, 308, 656,552, 592, 620, 650
368, 578, 434, 664,784, 592, 844, 660
280, 570, 406, 698,716, 578, 836, 686
318, 664, 430, 794,756, 670, 894, 788
242, 668, 352, 776,832, 660, 946, 762
306, 644,434, 770,690, 640, 844, 784
300, 598, 444, 704,780, 570, 904, 680
242, 670, 390, 804,716, 648, 868, 784
394, 684, 474, 796,838, 642, 912, 762
260, 667, 424, 842,802, 496, 958, 644
140, 638, 324, 736,690, 682, 910, 764
240, 644, 410, 738,738, 634, 892, 728
276, 606, 432, 740,706, 600, 860, 694
294, 572, 410, 688,744, 588, 878, 698
208, 546, 402, 722,440, 658, 664, 858
528, 678, 664, 812,858, 528, 980, 652
302, 598, 396, 640,644, 600, 744, 636
268, 620, 448, 752,606, 556, 796, 692
386, 594, 520, 704,748, 570, 888, 670
118, 674, 374, 860,570, 652, 822, 838
300, 610, 436, 714,644, 602, 764, 728
248, 592, 366, 696,732, 586, 866, 682
306, 632, 422, 752,698, 616, 812, 704
320, 628, 442, 796,562, 610, 666, 794
242, 582, 628, 578,628, 578, 846, 722
576, 668, 706, 822,-1,-1,-1,-1
702, 688, 776, 764,-1,-1,-1,-1
180, 634, 236, 706,786, 638, 864, 702
284, 628, 416, 720,640, 620, 752, 730
196, 602, 314, 718,664, 600, 818, 736
286, 600, 430, 750,708, 598, 876, 744
380, 606, 488, 700,746, 578, 848, 696
336, 630, 536, 792,676, 628, 822, 782
350, 622, 434, 678,708, 626, 810, 700
536, 632, 674, 738,792, 470, 918, 598
276, 598, 392, 704,710, 612, 808, 714
132, 586, 332, 708,584, 584, 766, 730
342, 606, 466, 706,620, 590, 738, 684
256, 602, 332, 686,760, 590, 856, 678
654, 628, 758, 882,-1,-1,-1,-1
124, 584, 286, 724,808, 590, 962, 750
260, 640, 360, 738,796, 630, 896, 720
214, 596, 378, 706,754, 572, 910, 714
220, 540, 456, 728,688, 522, 920, 714
272, 634, 380, 730,544, 628, 636, 720
460, 658, 592, 752,808, 416, 918, 504
230, 606, 376, 732,672, 604, 822, 714
270, 594, 416, 734,724, 592, 884, 730
424, 652, 550, 744,684, 618, 788, 702
310, 656, 516, 866,746, 654, 946, 882
150, 620, 250, 720,-1,-1,-1,-1
268, 632, 778, 604,780, 604, 940, 786
230, 570, 384, 702,770, 576, 914, 706
228, 612, 370, 726,654, 580, 812, 718
232, 604, 386, 742,674, 578, 820, 732
256, 616, 506, 800,648, 644, 900, 800
160, 580, 294, 704,696, 568, 862, 728
256, 574, 410, 762,574, 564, 802, 786
310, 568, 464, 688,-1,-1,-1,-1
324, 616, 468, 740,662, 614, 840, 742
